更新时间: 2026-03-23 12:19:31（北京时间）仅供娱乐,切勿商用。
电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CGTN法语,https://0472.org/hls/cgtnf.m3u8
老故事,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctvlaogushi/50/20231109/index.m3u8?msisdn=20260323120228f41c9229e14c40c7a16c0c28211d5faa&mdspid=&spid=699004&netType=0&sid=5910022002&pid=2028597139&timestamp=20260323120228&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=884121956&ParentNodeID=-99&assertID=5910022002&client_ip=218.28.233.106&SecurityKey=20260323120228&promotionId=&mvid=5900006372&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=00806592aa2848daadd7b0b7bc1113cb
CGTN纪录,https://0472.org/hls/cgtnd.m3u8
中学生,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/20210415/cctvzhongxuesheng/50/index.m3u8?msisdn=20260323120228537f1212120a4f5898a176e463c01042&mdspid=&spid=699004&netType=0&sid=5910019355&pid=2028597139&timestamp=20260323120228&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=708869532&ParentNodeID=-99&assertID=5910019355&client_ip=218.28.233.106&SecurityKey=20260323120228&promotionId=&mvid=5900002149&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=0ae668b95390510cfb9bbb35c34bdedf
CGTN西语,https://0472.org/hls/cgtnx.m3u8
发现之旅,http://hlsztemgsplive.miguvideo.com:8080/wd_r3/cnr/faxianzhilv/1000/index.m3u8?msisdn=20260323120228c706597e36014ea4abc236034135284c&mdspid=&spid=699004&netType=0&sid=5500212893&pid=2028597139&timestamp=20260323120228&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=624878970&ParentNodeID=-99&assertID=5500212893&client_ip=218.28.233.106&SecurityKey=20260323120228&promotionId=&mvid=5100001701&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=4f707b3e8c876d9792ce0bc60394d644
CGTN阿语,https://0472.org/hls/cgtna.m3u8
兵团卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/btws/50/20250804/index.m3u8?msisdn=20260323120230b613d3ec46c440aa9fc5aa4cf159ede7&mdspid=&spid=600697&netType=0&sid=5910022192&pid=2028597139&timestamp=20260323120230&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=956923145&ParentNodeID=-99&assertID=5910022192&client_ip=218.28.233.106&SecurityKey=20260323120230&promotionId=&mvid=5900006716&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=2b0aea0f9d6c3470e40b4d6b41f4a90a
中国交通,http://drive.mxmy.net:8888/udp/239.3.1.188:8001
延边卫视,https://srs.iyb983.cn:443/video/CYS/index.m3u8
兵器科技,http://38.75.136.137:98/gslb/dsdqpub/gfjs.m3u8?auth=testpub
山东教育卫视,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/sdjyws/50/20250915/index.m3u8?msisdn=20260323120236b130bbb76f22408fb5aabe167bc11e35&mdspid=&spid=600697&netType=0&sid=5910022199&pid=2028597139&timestamp=20260323120236&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=609154353&ParentNodeID=-99&assertID=5910022199&client_ip=218.28.233.106&SecurityKey=20260323120236&promotionId=&mvid=2200208305&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=a739ffa7c657f7acd7f44699804232a0
熊猫直播,https://gcwbndali.v.myalicdn.com/gcwbnd/ipanda1000_2/index.m3u8
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
直播中国,https://gcalic.v.myalicdn.com/gc/wgw05_1/index.m3u8?contentid=2820180516001
CHC影迷电影,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/chcymdy/50/20250415/index.m3u8?msisdn=20260323120235983fc53e7b744ae3a128de9228eeb3a7&mdspid=&spid=699004&netType=0&sid=5910022176&pid=2028597139&timestamp=20260323120235&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=952383261&ParentNodeID=-99&assertID=5910022176&client_ip=218.28.233.106&SecurityKey=20260323120235&promotionId=&mvid=5900006704&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=bb1a221f443a842aef8c1609fb37b2d5
风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
经典香港电影,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/virtuallive/5100180869/75/index.m3u8?msisdn=2026032312023533552af00bfd4cd4b083b5cd7f7516ab&mdspid=&spid=800033&netType=0&sid=5500242089&pid=2028597139&timestamp=20260323120235&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=625703337&ParentNodeID=-99&assertID=5500242089&client_ip=218.28.233.106&SecurityKey=20260323120235&promotionId=&mvid=5100180869&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=10ca250ebee7439d880d28c98a984e4c
支持作者,https://vd2.bdstatic.com/mda-scfjjr0gw3rrk0nm/sc/cae_h264/1773669284080863767/mda-scfjjr0gw3rrk0nm.mp4
抗战经典影片,http://hlsztemgsplive.miguvideo.com:8080/wd-virtuallive5100002089-75/index.m3u8?msisdn=202603231202355a4c4d9ec860458cbf353c0df052530b&mdspid=&spid=800033&netType=0&sid=5500002717&pid=2028597139&timestamp=20260323120235&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=617432318&ParentNodeID=-99&assertID=5500002717&client_ip=218.28.233.106&SecurityKey=20260323120235&promotionId=&mvid=5100002089&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=dea8a247c29c13e01c2f8bf58c45cec5
兵团卫视,http://183.11.239.36:808/hls/7/index.m3u8
星空卫视,http://39.107.120.164:8080/live/diyp_xingkong.flv
海峡卫视,http://8.138.7.223/tv/hxws.m3u8
CHANNEL[V],http://39.107.120.164:8080/live/diyp_channelv.flv
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
厦门卫视,http://183.11.239.36:808/hls/17/index.m3u8
翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fct2
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fct4
山东教育,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fct
东方卫视4K,https://bp-resource-dfl.bestv.cn/148/3/video.m3u8
翡翠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=fct3
北京卫视4K超,http://183.215.134.239:19901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
明珠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=mzt2
苏州4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
CHC家庭影院,http://61.162.52.6:8088/newlive/live/hls/60/live.m3u8
明珠台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=mzt
无线星河,https://cdn6.101.qzz.io/163189/tvbxh
无线新闻台,https://lb1-live-mv.v2h-cdn.com/hls/fdca/tvbnews/tvbnews.m3u8
东森电影,http://mytv.cdn.com.mp/live/dsdy/stream.m3u8
无线新闻台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=wxxwt
靖天戏剧,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv058
无线新闻台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=wxxw
靖天映画,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv055
无线新闻台,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbxw
龙华电影,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
TVB Plus,https://o11.163189.xyz/stream/tvb/tvbp/
AMC电影,http://61.221.215.25:8800/hls/43/index.m3u8
TVB Plus,https://smt.1678520.xyz/163189/18e96648d4420d9e
CHC电影,http://183.237.95.108:9901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
TVB Plus,https://php.jdshipin.com:2096/TVOD/iptv.php?id=j2
东阳影视生活,http://l.cztvcloud.com/channels/lantian/SXdongyang1/720p.m3u8
TVB Plus,https://php.jdshipin.com:2096/TVOD/iptv.php?id=tvbp
人在囧途,https://vip.ffzy-play.com/20221018/1953_2d6ba500/index.m3u8
凤凰卫视香港台,http://mag.greatott.me:80/play/live.php?mac=00:1A:79:11:ED:45&stream=153402&extension=ts&play_token=Va2HtR9jUD
延边卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227045/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7Eq0D3NdTUN7FuRzr8eJsbQA%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
人在囧途之泰囧,https://vip.ffzy-play.com/20221018/1951_47e1adc8/index.m3u8
凤凰卫视香港台,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:32:C6:2F&stream=153402&extension=ts&play_token=v43osRykOm
康巴卫视,http://[2409:8087:8:21::18]:6610/otttv.bj.chinamobile.com/PLTV/88888888/224/3221227027/1.m3u8?GuardEncType=2&accountinfo=%7E%7EV2.0%7EkHMvBpWz4rccMxNvSRekpQ%7EtP4-l0lmSfjwLWEfK_el1vH_mv-s1zo4AQJwdedaVwG9xkuFTDg8J26cwOrNJzn20BErrHdLhuZ9EzLUCD3PMW-OMx4MGteHV2vLeW6BqoY%2CEND
人在囧途之港囧,https://vip.ffzy-play7.com/20230112/11082_fde1a94d/index.m3u8
凤凰卫视香港台,http://tv.greatstar.me:80/play/live.php?mac=00:1A:79:E5:D4:63&stream=153402&extension=ts&play_token=vBulb9w1pg
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
倩女幽魂人间道,http://jsmov2.a.yximgs.com/bs3/video-hls/5250634317044855747_hlsb.m3u8
凤凰卫视电影台,http://39.107.120.164:8080/live/diyp_fhdy.flv
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
倩女幽魂妖魔道,http://jsmov2.a.yximgs.com/bs3/video-hls/5232901391302199073_hlsb.m3u8
快乐垂钓,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/ydcmklcd/50/20251225/index.m3u8?msisdn=20260323120228302cc84d0a384253b3759958934c4c47&mdspid=&spid=600603&netType=0&sid=5910022317&pid=2028597139&timestamp=20260323120228&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=961930263&ParentNodeID=-99&assertID=5910022317&client_ip=218.28.233.106&SecurityKey=20260323120228&promotionId=&mvid=5900006783&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=f735d590fa2ba21404bbc24f6dfef5b2
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
倩女幽魂道道道,http://jsmov2.a.yximgs.com/bs3/video-hls/5216294367991385255_hlsb.m3u8
四海钓鱼,http://hlsztemgsplive.miguvideo.com:8080/wd_r4/peoplecn/shdiaoyu/600/index.m3u8?msisdn=20260323120228cb32f2da60354f05b9269f3bf294dddf&mdspid=&spid=600697&netType=0&sid=5910022184&pid=2028597139&timestamp=20260323120228&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=637444975&ParentNodeID=-99&assertID=5910022184&client_ip=218.28.233.106&SecurityKey=20260323120228&promotionId=&mvid=5100132656&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=2ed3047cbfcc8f1633be700725711084
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
冰冰影剧,http://www.goodiptv.club/douyu/74374
优漫卡通,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/jstv/ymkt/600/index.m3u8?msisdn=2026032312023387e15db227d2421e81534513066cd09c&mdspid=&spid=699067&netType=0&sid=5500260553&pid=2028597139&timestamp=20260323120233&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=626064703&ParentNodeID=-99&assertID=5500260553&client_ip=218.28.233.106&SecurityKey=20260323120233&promotionId=&mvid=5100186455&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=0a23abbf986f41ec5824e7c60e8acbac
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
刀刀影院,http://www.goodiptv.club/douyu/747764
嘉佳卡通,http://hlsztemgsplive.miguvideo.com:8080/wd_r1/2018/nfmedia/jjkt/1000/index.m3u8?msisdn=202603231202382c909bd4fab74ee799bdd531f58c6366&mdspid=&spid=699054&netType=0&sid=2206172388&pid=2028597139&timestamp=20260323120238&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=614952364&ParentNodeID=-99&assertID=2206172388&client_ip=218.28.233.106&SecurityKey=20260323120238&promotionId=&mvid=2206172388&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=475fd412bae1b28196690c32344a212c
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
刘哔电影,https://goodiptv.club/douyu/2632223
中国天气,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/zgtq/50/20251103/index.m3u8?msisdn=20260323120236a56f8ddbea014645824107ba576d7160&mdspid=&spid=600697&netType=0&sid=5910022296&pid=2028597139&timestamp=20260323120236&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=959986621&ParentNodeID=-99&assertID=5910022296&client_ip=218.28.233.106&SecurityKey=20260323120236&promotionId=&mvid=5900006772&mcid=500020&playurlVersion=ZQ-A1-9.3.1-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=72c6567004db4dd39e8e469615c570da
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
华语影视,http://www.goodiptv.club/douyu/3928
台視,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv066
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8
古装武侠,http://www.goodiptv.club/douyu/2793084
台視,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv066&sd=1080&proxy=false
内蒙新闻,https://livestream-bt.nmtv.cn/nmtv/2316general.m3u8?txSecret=b4373417a82ed64e52b0982a66da8df2&txTime=771E8800
哈利影视,https://goodiptv.club/douyu/8475821
台視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv066
内蒙经济,https://livestream-bt.nmtv.cn/nmtv/2317general.m3u8?txSecret=112b2c4c872de52b0f37aff6ead63ef0&txTime=771E8800
哈尔滨影视,http://stream.hrbtv.net/yspd/sd/live.m3u8?zheild
台視,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=4gtv-4gtv066
内蒙少儿,https://livestream-bt.nmtv.cn/nmtv/2318general.m3u8?txSecret=a2c948908728a0733cecbe1fadea23dc&txTime=771E8800
喜剧电影笑不停,https://goodiptv.club/douyu/10298856
台視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv066
内蒙文体,https://livestream-bt.nmtv.cn/nmtv/2319general.m3u8?txSecret=c7b5c515d2bb6df442492d54955329a3&txTime=771E8800
墨逗电影,https://goodiptv.club/douyu/9614847
中視,https://4gtv.dxjc.pp.ua/4gtv-4gtv040/index.m3u8
内蒙农牧,https://livestream-bt.nmtv.cn/nmtv/2320general.m3u8?txSecret=4d368a175afa19737a9f5be10af24fe2&txTime=771E8800
安徽影视,https://www.ahtv.cn/folder9000/folder20193?channelIndex=3
中視,https://mao.ffmking888.dpdns.org/?id=5Lit6KaW&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
蒙语卫视,https://livestream-bt.nmtv.cn/nmtv/2315general.m3u8?txSecret=4971666599ef9411629213c9a300bf66&txTime=771EF880
寒战,https://vip.ffzy-play6.com/20221019/157_bf0740ee/index.m3u8
中視,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv040/index.m3u8
蒙语文化,https://livestream-bt.nmtv.cn/nmtv/2321general.m3u8?txSecret=d9d0fd7a252ef56b515c46a2e21830f4&txTime=771E8800
小儛电影嘚啵嘚,https://goodiptv.club/douyu/8362978
中視,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv040/index.m3u8?proxy=true
呼市新闻综合,https://livestream-bt.nmtv.cn/nmtv/2331general.m3u8?txSecret=4d7342ca5cd74480526ab6d292247aff&txTime=771E8800
我不是药神,https://vip.ffzy-play1.com/20221018/478_c3afed66/index.m3u8
中視,http://tw-ty-line-11-1-5.sudatech.store:20319/li-4gtv-4gtv040/index.m3u8?proxy=true
包头新闻综合,https://livestream-bt.nmtv.cn/nmtv/2358general.m3u8?txSecret=98390a77c143a68f0fd64bfe6e181dcb&txTime=771E8800
拆弹专家1,https://vip.ffzy-online.com/20221015/719_80ff87c2/index.m3u8
中視,http://tw-ty-line-11-1-5.sudatech.store:20319/of-4gtv-4gtv040/index.m3u8?proxy=true
鄂尔多斯新闻,https://livestream-bt.nmtv.cn/nmtv/2349general.m3u8?txSecret=e44477052aba305cadeea45aaf1c674a&txTime=771E8800
拆弹专家2,https://vip.ffzy-online.com/20221015/722_e32c42bc/index.m3u8
中視,https://pxuchylhjchl.us-east-1.clawcloudrun.com/index.m3u8?pid=4gtv-4gtv040&sd=1080&proxy=false
巴彦淖尔新闻,https://livestream-bt.nmtv.cn/nmtv/2348general.m3u8?txSecret=6a4ddce077e41b976fe33619fbef2b30&txTime=771E8800
斗鱼港剧,http://www.goodiptv.club/douyu/5061550
中視,https://4gtv.dxjc.pp.ua/li-4gtv-4gtv040/index.m3u8
赤峰新闻综合,https://livestream-bt.nmtv.cn/nmtv/2351general.m3u8?txSecret=8857087aeec2cec44d178a18550fdb8a&txTime=771E8800
无际电影,https://goodiptv.club/douyu/9720498
中視,http://breezy-audrie-zspace-7524863c.koyeb.app/vipsir?token=leifeng&id=4gtv-4gtv040
乌兰察布新闻,https://livestream-bt.nmtv.cn/nmtv/2354general.m3u8?txSecret=cf5f71d0000862b18f5813607b3dfd5b&txTime=771E8800
橙记港剧,http://www.goodiptv.club/douyu/4549169
中視,https://edgeone.passwdword.xyz/ofiii.php?token=passwd&id=4gtv-4gtv040
CGTN英语,https://0472.org/hls/cgtn.m3u8
洛克电影,https://goodiptv.club/douyu/9414884
中視,http://xtvantsc.xyz/litv_ts.php?id=4gtv-4gtv040
CGTN记录,https://0472.org/hls/cgtnd.m3u8
浙江教科影视,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
中視,https://tmxk.pp.ua/litv.php?token=tmxk&id=4gtv-4gtv040
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
淘剧场,http://zjzcf.synology.me:35455/bptv/10000100000000050000000003887497.m3u8
華視,http://tw-ty-line-11-1-5.sudatech.store:20319/4gtv-4gtv041/index.m3u8?proxy=true
CGTN西语,https://0472.org/hls/cgtnx.m3u8
淘娱乐,http://zjzcf.synology.me:35455/bptv/10000100000000050000000003887499.m3u8
華視,https://mao.ffmking888.dpdns.org/?id=6Iav6KaW&auth=30234cedf871581989d3c91a3daec1e9f50e024aafcfa2247e7d44d91bb8d02fbc3f571b2d67f9d82642cc1d0f133d89
CGTN阿语,https://0472.org/hls/cgtna.m3u8
热门港剧,http://www.goodiptv.club/douyu/5522351
華視,https://4gtv.dxjc.pp.ua/of-4gtv-4gtv041/index.m3u8
